area_name,sector
Wandsworth,SW11 1
Wandsworth,SW11 2
Wandsworth,SW11 3
Wandsworth,SW11 6
Wandsworth,SW11 8
Wandsworth,SW12 8
Wandsworth,SW15 2
Wandsworth,SW17 0
Wandsworth,SW17 7
Wandsworth,SW17 8
Wandsworth,SW18 1
Wandsworth,SW18 2
Wandsworth,SW18 3
Wandsworth,SW18 4
Wandsworth,SW18 4
Wandsworth,SW18 5
Wandsworth,SW19 5
Wandsworth,SW19 6
Wandsworth,SW19 7
Wandsworth,SW19 8
Islington,N1 0
Islington,N1 1
Islington,N1 2
Islington,N1 3
Islington,N1 4
Islington,N1 5
Islington,N1 6
Islington,N1 7
Islington,N1 8
Islington,N1 9
Islington,N5 1
Islington,N5 2
Islington,N7 0
Islington,N7 6
Islington,N7 7
Islington,N7 8
Islington,N7 9
